postcode,population_2011,population_2022,population_2023,population_2024
AL1  1,5453,5841,5889,5971
AL1  2,6523,6987,7045,7143
AL1  3,4179,4477,4513,4576
AL1  4,9799,10497,10583,10730
AL1  5,10226,10954,11044,11197
AL10 0,9935,10642,10730,10879
AL10 8,10998,11781,11878,12043
AL10 9,14967,16033,16164,16389
AL2  1,9507,10184,10268,10410
AL2  2,6130,6566,6620,6712
AL2  3,7967,8534,8604,8724
AL3  4,5565,5961,6010,6094
AL3  5,8831,9460,9537,9670
AL3  6,4281,4586,4623,4688
AL3  7,5344,5724,5772,5852
AL3  8,4441,4757,4796,4863
AL4  0,9308,9971,10053,10192
AL4  8,6509,6972,7030,7127
AL4  9,11451,12266,12367,12539
AL5  1,6090,6524,6577,6669
AL5  2,4676,5009,5050,5120
AL5  3,4659,4991,5032,5102
AL5  4,6450,6909,6966,7063
AL5  5,8365,8961,9034,9160
AL6  0,6434,6892,6949,7045
AL6  9,4788,5129,5171,5243
AL7  1,5761,6171,6222,6308
AL7  2,7395,7922,7987,8098
AL7  3,10114,10834,10923,11075
AL7  4,10620,11376,11470,11629
AL8  6,5869,6287,6339,6427
AL8  7,7383,7909,7974,8084
AL9  5,2085,2233,2252,2283
AL9  6,1427,1529,1541,1563
AL9  7,6897,7388,7449,7552
B1   1,4099,4391,4427,4488
B1   2,2897,3103,3129,3172
B1   3,993,1064,1072,1087
B10  0,8206,8790,8862,8986
B10  9,17702,18962,19118,19384
B11  1,11688,12520,12623,12798
B11  2,3479,3727,3757,3810
B11  3,17242,18470,18621,18880
B11  4,12295,13170,13279,13463
B12  0,4129,4423,4459,4521
B12  8,8748,9371,9448,9579
B12  9,7878,8439,8508,8626
B13  0,13458,14416,14535,14737
B13  8,7678,8225,8292,8407
B13  9,15681,16797,16935,17171
B14  4,12710,13615,13727,13917
B14  5,10926,11704,11800,11964
B14  6,12143,13008,13114,13297
B14  7,7634,8178,8245,8359
B15  1,2582,2766,2789,2827
B15  2,9675,10364,10449,10594
B15  3,5964,6389,6441,6531
B16  0,10022,10736,10824,10974
B16  8,6754,7235,7294,7396
B16  9,6994,7492,7554,7658
B17  0,8835,9464,9542,9674
B17  8,9118,9767,9847,9984
B17  9,7610,8152,8219,8333
B18  4,6676,7151,7210,7310
B18  5,5132,5497,5543,5620
B18  6,1890,2025,2041,2070
B18  7,2585,2769,2792,2831
B19  1,8818,9446,9523,9656
B19  2,7537,8074,8140,8253
B19  3,3713,3977,4010,4066
B2   4,451,483,487,494
B2   5,165,177,178,181
B20  1,8296,8887,8960,9084
B20  2,10818,11588,11683,11846
B20  3,14975,16041,16173,16398
B21  0,10012,10725,10813,10963
B21  8,9576,10258,10342,10486
B21  9,10738,11503,11597,11758
B23  5,15189,16270,16404,16632
